rating,guest,trip_type,length_of_stay,title,review,review_date,country,stay_date,review_year,review_month,stay_year,stay_month,stopword_text,lemmatized_text,tokenized_text,hotel,channel,room_type,sentiment
10,abdul,couple,3,exceptional,excellent stay value money,9/10/2024,pakistan,9/1/2024,2024,september,2024,september,excellent stay value money,excellent stay value money,"['excellent', 'stay', 'value', 'money']",adiwana unagi suites,agoda,,pos
8.4,agha,couple,2,small resort quiet location ,stayed two nights  daily free shuttle ubud center  two distinctions  one service good food elys kitchen drawbacks like limited facilities small pool  limited activities within resort ,9/8/2024,pakistan,9/1/2024,2024,september,2024,september,stayed two nights daily free shuttle ubud center two distinctions one service good food elys kitchen drawbacks like limited facilities small pool limited activities within resort,stayed two night daily free shuttle ubud center two distinction one service good food elys kitchen drawback like limited facility small pool limited activity within resort,"['stayed', 'two', 'nights', 'daily', 'free', 'shuttle', 'ubud', 'center', 'two', 'distinctions', 'one', 'service', 'good', 'food', 'elys', 'kitchen', 'drawbacks', 'like', 'limited', 'facilities', 'small', 'pool', 'limited', 'activities', 'within', 'resort']",adiwana unagi suites,agoda,,pos
9.6,manvir,couple,2,beautiful experience ,absolutely worth stay beautiful location exceptional service highly recommended,9/5/2024,malaysia,9/1/2024,2024,september,2024,september,absolutely worth stay beautiful location exceptional service highly recommended,absolutely worth stay beautiful location exceptional service highly recommended,"['absolutely', 'worth', 'stay', 'beautiful', 'location', 'exceptional', 'service', 'highly', 'recommended']",adiwana unagi suites,agoda,,pos
10,iris,group,2,exceptional,relaxing memorable stay staff attentive addressed requests concerns promptly smile food elys kitchen one best room spa transport center  wonderful,7/7/2024,"hong kong sar, china",6/1/2024,2024,july,2024,june,relaxing memorable stay staff attentive addressed requests concerns promptly smile food elys kitchen one best room spa transport center wonderful,relaxing memorable stay staff attentive addressed request concern promptly smile food elys kitchen one best room spa transport center wonderful,"['relaxing', 'memorable', 'stay', 'staff', 'attentive', 'addressed', 'requests', 'concerns', 'promptly', 'smile', 'food', 'elys', 'kitchen', 'one', 'best', 'room', 'spa', 'transport', 'center', 'wonderful']",adiwana unagi suites,agoda,,pos
4,samantha,couple,4,mouldy,black mould everyone pay upgrade pool villa much better book here,6/20/2024,australia,6/1/2024,2024,june,2024,june,black mould everyone pay upgrade pool villa much better book,black mould everyone pay upgrade pool villa much better book here,"['black', 'mould', 'everyone', 'pay', 'upgrade', 'pool', 'villa', 'much', 'better', 'book', 'here']",adiwana unagi suites,agoda,,pos
10,suzanne,couple,3,amazing resort,loved club suite rooms beautiful first enter say wow clean spacious attention detail 5 star service would highly recommend stay here,5/7/2024,australia,5/1/2024,2024,may,2024,may,loved club suite rooms beautiful first enter say wow clean spacious attention detail 5 star service would highly recommend stay,loved club suite room beautiful first enter say wow clean spacious attention detail 5 star service would highly recommend stay here,"['loved', 'club', 'suite', 'rooms', 'beautiful', 'first', 'enter', 'say', 'wow', 'clean', 'spacious', 'attention', 'detail', '5', 'star', 'service', 'would', 'highly', 'recommend', 'stay', 'here']",adiwana unagi suites,agoda,,pos
10,irene,solo traveler,2,excellence adiwana unagi suites,delighted stay moment stepped foot lobby met kind hospitality staff exceptionally wonderful roof top bar pool spa restaurant shuttle service daily activities must ill sure return asap,4/12/2024,australia,4/1/2024,2024,april,2024,april,delighted stay moment stepped foot lobby met kind hospitality staff exceptionally wonderful roof top bar pool spa restaurant shuttle service daily activities must ill sure return asap,delighted stay moment stepped foot lobby met kind hospitality staff exceptionally wonderful roof top bar pool spa restaurant shuttle service daily activity must ill sure return asap,"['delighted', 'stay', 'moment', 'stepped', 'foot', 'lobby', 'met', 'kind', 'hospitality', 'staff', 'exceptionally', 'wonderful', 'roof', 'top', 'bar', 'pool', 'spa', 'restaurant', 'shuttle', 'service', 'daily', 'activities', 'must', 'ill', 'sure', 'return', 'asap']",adiwana unagi suites,agoda,,pos
9.6,keshav,family young children,2,great stay ,hotel boasts incredible amenities spacious rooms stunning infinity pool exceptional staff providing topnotch service breakfast  la carte exceeds expectations quality portion size leaving us thoroughly satisfied stay thoroughly enjoyable wholeheartedly recommend hotel others,4/1/2024,india,3/1/2024,2024,april,2024,march,hotel boasts incredible amenities spacious rooms stunning infinity pool exceptional staff providing topnotch service breakfast la carte exceeds expectations quality portion size leaving us thoroughly satisfied stay thoroughly enjoyable wholeheartedly recommend hotel others,hotel boast incredible amenity spacious room stunning infinity pool exceptional staff providing topnotch service breakfast la carte exceeds expectation quality portion size leaving u thoroughly satisfied stay thoroughly enjoyable wholeheartedly recommend hotel others,"['hotel', 'boasts', 'incredible', 'amenities', 'spacious', 'rooms', 'stunning', 'infinity', 'pool', 'exceptional', 'staff', 'providing', 'topnotch', 'service', 'breakfast', 'la', 'carte', 'exceeds', 'expectations', 'quality', 'portion', 'size', 'leaving', 'us', 'thoroughly', 'satisfied', 'stay', 'thoroughly', 'enjoyable', 'wholeheartedly', 'recommend', 'hotel', 'others']",adiwana unagi suites,agoda,,pos
10,nchang,family teens,2,hotel everything ,wow really enjoyed stay hotel beautiful staffs sooooo nice service top notch best decision made,3/26/2024,united states,3/1/2024,2024,march,2024,march,wow really enjoyed stay hotel beautiful staffs sooooo nice service top notch best decision made,wow really enjoyed stay hotel beautiful staff sooooo nice service top notch best decision made,"['wow', 'really', 'enjoyed', 'stay', 'hotel', 'beautiful', 'staffs', 'sooooo', 'nice', 'service', 'top', 'notch', 'best', 'decision', 'made']",adiwana unagi suites,agoda,,pos
10,cristina,family young children,4,exceptional service,hotel catered needs made sure got everything asked for since family toddler staff crew adiwana made stay hassle free comfortable would surely recommend small families kids planning stay ubud,3/23/2024,philippines,3/1/2024,2024,march,2024,march,hotel catered needs made sure got everything asked since family toddler staff crew adiwana made stay hassle free comfortable would surely recommend small families kids planning stay ubud,hotel catered need made sure got everything asked for since family toddler staff crew adiwana made stay hassle free comfortable would surely recommend small family kid planning stay ubud,"['hotel', 'catered', 'needs', 'made', 'sure', 'got', 'everything', 'asked', 'for', 'since', 'family', 'toddler', 'staff', 'crew', 'adiwana', 'made', 'stay', 'hassle', 'free', 'comfortable', 'would', 'surely', 'recommend', 'small', 'families', 'kids', 'planning', 'stay', 'ubud']",adiwana unagi suites,agoda,,pos
10,lucy,couple,1,exceptional,fantastic words ,3/23/2024,armenia,3/1/2024,2024,march,2024,march,fantastic words,fantastic word,"['fantastic', 'words']",adiwana unagi suites,agoda,,pos
10,paul,couple,5,simply amazing ,unforgettable stay immaculate romantic relaxing staff fulfilled every request without hesitation back next year,3/16/2024,australia,3/1/2024,2024,march,2024,march,unforgettable stay immaculate romantic relaxing staff fulfilled every request without hesitation back next year,unforgettable stay immaculate romantic relaxing staff fulfilled every request without hesitation back next year,"['unforgettable', 'stay', 'immaculate', 'romantic', 'relaxing', 'staff', 'fulfilled', 'every', 'request', 'without', 'hesitation', 'back', 'next', 'year']",adiwana unagi suites,agoda,,pos
10,clint,couple,2,outstanding stay,outstanding warm service ive come learn hallmark adiwana properties magical island team adiwana unagi went beyond ensure memorable stay check literally every touch point heartfelt hospitality service truly remarkable hard product exceptional stayed 1 bedroom pool villa exceeded expectations previously stayed adiwana suweta across street property going way recommend properties friends acquaintances thank hardworking team made stay memorable ,3/10/2024,zimbabwe,3/1/2024,2024,march,2024,march,outstanding warm service ive come learn hallmark adiwana properties magical island team adiwana unagi went beyond ensure memorable stay check literally every touch point heartfelt hospitality service truly remarkable hard product exceptional stayed 1 bedroom pool villa exceeded expectations previously stayed adiwana suweta across street property going way recommend properties friends acquaintances thank hardworking team made stay memorable,outstanding warm service ive come learn hallmark adiwana property magical island team adiwana unagi went beyond ensure memorable stay check literally every touch point heartfelt hospitality service truly remarkable hard product exceptional stayed 1 bedroom pool villa exceeded expectation previously stayed adiwana suweta across street property going way recommend property friend acquaintance thank hardworking team made stay memorable,"['outstanding', 'warm', 'service', 'ive', 'come', 'learn', 'hallmark', 'adiwana', 'properties', 'magical', 'island', 'team', 'adiwana', 'unagi', 'went', 'beyond', 'ensure', 'memorable', 'stay', 'check', 'literally', 'every', 'touch', 'point', 'heartfelt', 'hospitality', 'service', 'truly', 'remarkable', 'hard', 'product', 'exceptional', 'stayed', '1', 'bedroom', 'pool', 'villa', 'exceeded', 'expectations', 'previously', 'stayed', 'adiwana', 'suweta', 'across', 'street', 'property', 'going', 'way', 'recommend', 'properties', 'friends', 'acquaintances', 'thank', 'hardworking', 'team', 'made', 'stay', 'memorable']",adiwana unagi suites,agoda,,pos
